s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.000000;5.182759;3.740286;1.448269;0.0;1.0;0.0
1.342721;5.346868;5.072941;1.503553;0.0;1.0;0.0
2.754521;5.441730;6.481550;1.411990;0.0;1.0;0.0
3.806136;5.608032;7.519932;1.572160;0.0;1.0;0.0
4.942125;5.606483;8.655920;1.555506;0.0;1.0;0.0
6.208596;5.625847;9.922243;1.740542;0.0;1.0;0.0
7.226135;5.453953;10.925158;1.529204;0.0;1.0;0.0
7.829075;5.479023;11.527576;1.562944;0.0;1.0;0.0
9.051559;5.488622;12.750023;1.465008;0.0;1.0;0.0
9.973162;5.585935;13.666473;1.604058;0.0;1.0;0.0
10.847373;5.556862;14.540201;1.866944;0.0;1.0;0.0
11.574418;5.344683;15.235596;2.797227;0.0;1.0;0.0
12.163431;4.790250;15.434446;3.104155;0.0;1.0;0.0
12.820440;4.133701;15.459038;3.086878;0.0;1.0;0.0
13.535175;3.420036;15.498125;-2.601825;0.0;1.0;0.0
14.428262;2.653921;15.039135;3.019355;0.0;1.0;0.0
15.123777;1.963595;15.123941;-2.947132;0.0;1.0;0.0
16.101214;1.004581;14.935064;-1.899600;0.0;1.0;0.0
17.267327;0.628031;13.831421;-0.760027;0.0;1.0;0.0
17.926687;1.105947;13.377161;-0.784187;0.0;1.0;0.0
18.690977;1.647036;12.837381;-0.820081;0.0;1.0;0.0
19.504742;2.202155;12.242355;-1.485484;0.0;1.0;0.0
20.479180;2.285186;11.271461;-1.361161;0.0;1.0;0.0
21.410773;2.479053;10.360264;-1.761719;0.0;1.0;0.0
22.602008;2.252998;9.190674;-1.737151;0.0;1.0;0.0
24.261571;1.978194;7.554022;-1.811285;0.0;1.0;0.0
26.060424;1.549747;5.806936;-1.911356;0.0;1.0;0.0
27.462540;1.081420;4.485348;-1.828667;0.0;1.0;0.0
29.310756;0.610085;2.698242;-1.782023;0.0;1.0;0.0
30.823125;0.293002;1.219486;-0.081196;0.0;1.0;0.0
32.110275;1.575912;1.115089;0.014347;0.0;1.0;0.0
33.328109;2.793620;1.132561;-0.231093;0.0;1.0;0.0
34.484603;3.919371;0.867676;0.323930;0.0;1.0;0.0
35.568724;4.947108;1.212746;1.457909;0.0;1.0;0.0
37.246413;5.136096;2.879757;1.494629;0.0;1.0;0.0
40.098736;5.353140;5.723810;1.494629;0.0;1.0;0.0
